,Unnamed: 0,smi,ID,mol,SA score,Mol wt,fitness value,prop
114392,1274545,C1(C(OC)=O)=C(C)NC(C(C#N)=C1)=O,MCULE-8693238980,<rdkit.Chem.rdchem.Mol object at 0x00000140CD1B5DA0>,2.36017039858195,192.174,0.3416,0.3416
174773,2287138,C(COCC)(=O)NC1C=CC(=CC=1)C,MCULE-1234594141,<rdkit.Chem.rdchem.Mol object at 0x00000140CD1B5D50>,1.48200011231936,193.246,1.97002,1.97002
575699,5584619,C1(O)=C(C)C=C([C@H](CC)N)C=C1C,MCULE-8466703700,<rdkit.Chem.rdchem.Mol object at 0x00000140CD1B5D00>,2.64965187070194,179.263,2.41884,2.41884
559864,5448648,C(O)(=O)C[C@H](CC(N)=O)CC(C)C,MCULE-7836724145,<rdkit.Chem.rdchem.Mol object at 0x00000140CD1B5CB0>,2.80111904470441,187.239,0.9988,0.9988
391952,4192826,CC(C)CCCCCCCCC,MCULE-1079534714,<rdkit.Chem.rdchem.Mol object at 0x00000140CD1B5C60>,1.57519191105819,170.34,4.78310000000001,4.78310000000001
116644,1335437,N#CCC(=O)C1C=CC(=CC=1)OC,MCULE-9220539319,<rdkit.Chem.rdchem.Mol object at 0x00000140CD1B5C10>,1.82470898077806,175.187,1.79158,1.79158
363282,4093956,N1(CC(C1)OC1=CC=CN=C1)C(C)=O,MCULE-8738464501,<rdkit.Chem.rdchem.Mol object at 0x00000140CD1B5BC0>,2.1617965620235,192.218,0.6911,0.6911
412533,4256823,C1(C=CC=CC=1OC)C(C)NOC,MCULE-2389039309,<rdkit.Chem.rdchem.Mol object at 0x00000140CD1B5B70>,2.58821974400511,181.235,1.9072,1.9072
418675,4273725,O(C)NC(C1=CC=CC=C1)=O,MCULE-5184907180,<rdkit.Chem.rdchem.Mol object at 0x00000140CD1B5B20>,1.59736807823271,151.165,0.9778,0.9778
470294,4508219,N1C(C)=NSC=1OC1COC1,MCULE-9141414338,<rdkit.Chem.rdchem.Mol object at 0x00000140CD1B5AD0>,3.15972341322031,172.209,0.62412,0.62412
